27 29 28 29 28 28 29 29 29 29 31 29 29 28 28 29 29 30 29 29 28 29 31 29 29 29 29 30 29 29 30 29 29 28 28 29 29 29 30 29 30 30 29 30 28 29 31 29 29 29 29 28 28 30 29 29 28 29 29 29 29 31 29 28 20 19 20 20 21 19 19 20 19 21 19 21 21 20 19 20 20 20 20 18 20 19 19 20 20 20 20 21 20 19 20 21 19 21 20 19 20 20 20 20 20 20 21 20 18 22 21 20 19 20 20 20 19 20 21 20 20 20 20 20 19 20 21 21 
29 29 29 29 30 29 29 29 29 29 30 28 29 29 29 28 31 29 29 29 28 29 29 28 30 29 28 29 29 30 29 28 29 29 29 29 30 30 31 29 29 29 29 29 29 29 27 29 29 29 29 29 27 29 29 29 29 29 29 29 29 30 29 29 20 19 20 20 20 18 19 20 21 19 20 20 20 20 21 20 20 20 19 21 21 20 20 20 20 20 20 20 19 19 20 21 20 19 20 20 20 20 21 20 20 20 20 20 19 19 20 19 21 20 20 19 20 20 20 21 21 20 20 19 20 19 19 19 
29 29 29 29 29 30 29 30 29 29 28 29 30 29 29 29 29 29 29 29 28 29 29 30 29 29 29 29 28 29 29 29 29 29 29 30 29 29 29 29 28 29 28 28 30 29 29 29 29 29 29 28 27 29 29 29 29 29 29 28 30 29 29 29 21 18 21 20 20 20 20 19 20 20 20 20 20 21 20 20 20 20 21 20 19 20 20 20 20 20 20 19 20 20 21 20 20 19 20 20 20 20 20 20 18 21 20 20 20 20 22 20 22 20 19 19 19 20 20 20 21 22 22 19 20 20 18 20 
29 30 29 29 29 27 29 27 29 29 27 29 29 29 30 29 29 29 28 29 29 28 28 30 29 31 30 31 30 31 31 31 28 30 30 29 29 29 29 29 28 27 29 29 30 30 29 30 29 29 29 29 29 31 28 28 30 29 29 29 29 29 29 30 21 19 20 21 19 20 20 20 20 21 20 20 20 20 20 20 20 20 20 19 20 20 19 20 16 16 16 16 17 16 16 16 20 19 20 19 20 20 23 22 19 21 22 20 23 22 21 20 20 20 21 21 21 20 20 20 20 20 21 20 20 20 20 21 
29 29 29 29 29 29 29 29 29 28 29 29 30 29 28 29 29 29 29 29 29 29 28 28 31 31 31 30 30 31 31 31 30 29 29 29 29 29 30 28 30 28 29 29 29 29 29 29 29 28 29 29 30 29 29 29 29 29 29 29 29 30 29 29 21 19 20 20 20 21 20 20 19 19 20 20 20 20 20 20 20 20 20 21 20 19 20 19 16 16 16 14 16 16 17 16 18 18 20 20 21 20 20 19 19 21 20 20 19 20 20 21 20 19 20 20 20 20 20 19 20 20 21 20 21 21 20 20 
29 28 29 29 29 29 29 28 29 28 31 29 29 28 29 29 29 29 28 29 29 29 29 31 31 33 31 33 30 31 30 32 31 30 30 30 28 29 29 29 29 29 29 29 29 29 28 29 30 30 29 29 29 27 30 30 28 29 30 29 29 29 29 29 21 19 21 20 19 20 21 20 20 20 20 21 20 20 21 21 20 20 20 20 20 20 20 16 23 23 23 23 24 23 23 23 14 16 16 20 20 22 19 20 19 22 20 21 19 19 21 20 21 20 20 21 20 20 20 21 20 20 20 20 20 20 20 18 
29 29 29 29 29 29 29 29 31 30 30 28 30 31 29 29 29 29 30 30 29 29 27 30 31 30 31 32 29 34 31 31 31 31 30 30 28 28 29 29 29 28 29 29 29 29 29 29 29 28 28 29 29 30 29 29 29 28 29 29 29 30 30 27 21 19 20 19 20 20 20 19 20 20 20 20 20 22 20 19 21 20 20 22 20 19 19 18 23 24 24 24 24 24 24 25 19 18 14 19 20 20 20 20 20 20 20 19 20 20 19 20 20 20 19 20 20 20 20 20 20 18 19 19 20 20 20 19 
30 30 29 29 29 28 29 29 29 29 27 29 29 29 29 30 29 29 29 29 30 29 29 31 30 31 31 31 31 30 31 31 31 31 31 30 29 26 29 28 29 30 29 29 29 29 29 29 29 29 28 29 29 31 29 28 29 29 31 29 28 29 29 29 21 19 20 20 20 20 20 19 19 20 20 19 20 20 21 20 20 20 20 20 17 17 16 18 24 25 24 26 23 25 24 23 24 23 23 18 16 20 19 19 19 20 20 19 20 21 20 19 20 18 20 20 20 21 21 19 20 20 20 19 20 20 20 22 
29 29 29 29 29 28 30 29 30 29 29 28 30 30 29 29 29 29 30 28 29 29 31 31 31 30 31 31 32 30 31 33 32 31 30 31 30 29 28 29 29 28 29 27 29 29 29 29 29 30 29 29 29 29 29 29 28 29 29 28 29 29 29 30 22 17 21 20 20 20 20 21 20 19 21 20 20 21 22 20 20 20 21 20 16 16 16 22 24 24 24 25 24 24 25 24 24 24 24 18 16 20 19 21 19 20 20 21 21 20 20 20 20 18 19 20 21 20 20 19 20 22 20 20 20 20 20 20 
28 29 31 29 27 29 29 29 27 29 30 28 29 29 30 29 28 29 29 30 31 31 31 30 31 31 31 31 31 32 31 31 31 32 30 31 31 30 28 27 29 29 29 29 29 27 29 30 27 29 29 29 29 29 29 29 29 30 29 28 29 29 29 28 21 19 20 20 20 18 20 20 20 20 20 21 21 20 20 20 20 20 20 19 16 21 21 25 25 24 24 24 24 23 24 23 24 24 23 22 16 17 19 18 20 20 19 21 20 18 21 20 20 22 20 20 20 20 20 20 20 19 20 20 22 20 20 19 
